title:estres_1, start timestamp:1695758897.191525, stop timestamp:1695759025.026200, headset type:INSIGHT2, headset serial:A3D20207, headset firmware:a11, channels:31, sampling rate:eeg_128;mc_8, samples:16369     , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,MC.Action,MC.ActionPower,MC.IsActive
1695758897.660127,1695758897.660614,43.000000,0.000000,4385.641113,4313.717773,4154.743652,4248.589844,4391.025879,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.667937,1695758897.668524,44.000000,0.000000,4389.871582,4286.794922,4177.563965,4250.641113,4406.282227,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.675747,1695758897.676334,45.000000,0.000000,4384.230957,4325.000000,4170.897461,4235.641113,4384.358887,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.683557,1695758897.684144,46.000000,0.000000,4374.102539,4349.743652,4140.641113,4237.051270,4351.538574,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.691367,1695758897.691955,47.000000,0.000000,4366.025879,4301.025879,4131.794922,4251.025879,4338.333496,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.699177,1695758897.699865,48.000000,0.000000,4367.307617,4288.461426,4141.794922,4265.641113,4347.436035,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.706987,1695758897.707675,49.000000,0.000000,4369.487305,4317.948730,4150.897461,4276.153809,4364.230957,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.714797,1695758897.715485,50.000000,0.000000,4373.589844,4302.436035,4158.205078,4272.692383,4370.128418,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,1.000000,0.000000,0.000000
1695758897.722607,1695758897.723295,51.000000,0.000000,4379.487305,4284.102539,4155.384766,4255.128418,4353.333496,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.730417,1695758897.731005,52.000000,0.000000,4371.153809,4303.461426,4148.717773,4240.384766,4326.538574,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.738227,1695758897.738815,53.000000,0.000000,4361.153809,4323.717773,4151.410156,4245.641113,4316.666504,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.746037,1695758897.746625,54.000000,0.000000,4369.615234,4337.692383,4147.179688,4261.282227,4325.641113,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.753847,1695758897.754435,55.000000,0.000000,4373.717773,4329.615234,4137.436035,4257.948730,4328.589844,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.761657,1695758897.762345,56.000000,0.000000,4362.820313,4295.512695,4143.846191,4243.205078,4318.717773,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
1695758897.769467,1695758897.770156,57.000000,0.000000,4361.538574,4292.948730,4154.358887,4247.436035,4314.615234,0.000000,2.000000,38.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,
